# ABSOLUTE spectrograph sensitivity, [erg/s/cm^2/A] per [e-/s/A]
# arm=r  n=3591
# vendored 2026-09-18 from lvmcore/sensitivity/sens_percentiles-r.csv column 4 (of 8), sha256 1533afa02bdfba43
# columns: wavelength_air_angstrom,sensitivity_abs
5903.999999999999,3.4456848456638325e-14
5904.499999999999,3.4446469804976064e-14
5904.999999999999,3.443784570001081e-14
5905.499999999999,3.442741550612728e-14
5905.999999999999,3.44182457796973e-14
5906.499999999999,3.440669767850603e-14
5906.999999999999,3.4399654170759535e-14
5907.499999999999,3.438966313768603e-14
5907.999999999999,3.43772904745434e-14
5908.499999999999,3.437000690451809e-14
5908.999999999998,3.43603092452736e-14
5909.499999999998,3.4350946065486834e-14
5909.999999999998,3.4341511732690817e-14
5910.499999999998,3.4331691226092706e-14
5910.999999999998,3.4322705757048686e-14
5911.499999999998,3.431698640323542e-14
5911.999999999998,3.431028657685836e-14
5912.499999999998,3.4304291678477145e-14
5912.999999999998,3.4295764184056864e-14
5913.499999999998,3.429154991148386e-14
5913.999999999998,3.428383073319713e-14
5914.499999999998,3.4278205981684904e-14
5914.999999999998,3.4270063457746205e-14
5915.499999999998,3.4262743428535455e-14
5915.999999999999,3.4258465867973717e-14
5916.499999999999,3.4252053487007504e-14
5916.999999999999,3.424874724418414e-14
5917.499999999999,3.423925559088795e-14
5917.999999999999,3.4231678065796576e-14
5918.499999999999,3.4223244629803747e-14
5918.999999999999,3.421990867152846e-14
5919.499999999999,3.4217384043508243e-14
5919.999999999999,3.421146724803932e-14
5920.499999999999,3.420774591983033e-14
5920.999999999999,3.420269762541935e-14
5921.499999999999,3.419776623501755e-14
5921.999999999999,3.4194584238313036e-14
5922.499999999999,3.4193340853146754e-14
5922.999999999999,3.4189493439682266e-14
5923.499999999998,3.4184820308944256e-14
5923.999999999998,3.4181965762595635e-14
5924.499999999998,3.417840346781176e-14
5924.999999999998,3.4176102525698113e-14
5925.499999999998,3.417253654730331e-14
5925.999999999998,3.417109271426195e-14
5926.499999999998,3.417026325393911e-14
5926.999999999998,3.416974481853428e-14
5927.499999999998,3.41669259534835e-14
5927.999999999998,3.416327619016959e-14
5928.499999999998,3.416260357040403e-14
5928.999999999998,3.416090296713518e-14
5929.499999999998,3.415993190231836e-14
5929.999999999998,3.416071839527945e-14
5930.499999999999,3.415793620088678e-14
5930.999999999999,3.4156097143103015e-14
5931.499999999999,3.415402002201872e-14
5931.999999999999,3.4150721575423033e-14
5932.499999999999,3.414955426491846e-14
5932.999999999999,3.414782411023351e-14
5933.499999999999,3.414752026701655e-14
5933.999999999999,3.414737637071872e-14
5934.499999999999,3.414644216217698e-14
5934.999999999999,3.414764868554277e-14
5935.499999999999,3.414619846328424e-14
5935.999999999999,3.414582565796715e-14
5936.499999999999,3.414900471221441e-14
5936.999999999998,3.414872594405219e-14
5937.499999999998,3.41494438300517e-14
5937.999999999998,3.4143688683088945e-14
5938.499999999998,3.4143012894977295e-14
5938.999999999998,3.414473979046553e-14
5939.499999999998,3.4150993501262694e-14
5939.999999999998,3.4155214274308236e-14
5940.499999999998,3.416439453505714e-14
5940.999999999998,3.417287172691109e-14
5941.499999999998,3.41867627009073e-14
5941.999999999998,3.4208426955179144e-14
5942.499999999998,3.422410780939234e-14
5942.999999999998,3.423914440376021e-14
5943.499999999998,3.424583061913942e-14
5943.999999999998,3.425175140767091e-14
5944.499999999999,3.4257823926648625e-14
5944.999999999999,3.4260871728974345e-14
5945.499999999999,3.4263235096525533e-14
5945.999999999999,3.4265906585923585e-14
5946.499999999999,3.4265413998992184e-14
5946.999999999999,3.4266003238410675e-14
5947.499999999999,3.426482504463542e-14
5947.999999999999,3.426336422293709e-14
5948.499999999999,3.4261804258062763e-14
5948.999999999999,3.426017326992345e-14
5949.499999999999,3.425875537898264e-14
5949.999999999999,3.4261428424704825e-14
5950.499999999999,3.4261713340940216e-14
5950.999999999999,3.42632464712756e-14
5951.499999999998,3.4261739065691085e-14
5951.999999999998,3.426405740671448e-14
5952.499999999998,3.4266620635975634e-14
5952.999999999998,3.426643334819382e-14
5953.499999999998,3.4268835609155466e-14
5953.999999999998,3.42719115218144e-14
5954.499999999998,3.4271853416497495e-14
5954.999999999998,3.4274850769759705e-14
5955.499999999998,3.427573327004806e-14
5955.999999999998,3.427599754169649e-14
5956.499999999998,3.428047102333188e-14
5956.999999999998,3.427873593232853e-14
5957.499999999998,3.4280567747750706e-14
5957.999999999998,3.4283120517862294e-14
5958.499999999999,3.4287472498782556e-14
5958.999999999999,3.429007562862704e-14
5959.499999999999,3.429242428703661e-14
5959.999999999999,3.429481323477572e-14
5960.499999999999,3.429801610037224e-14
5960.999999999999,3.430353243106359e-14
5961.499999999999,3.4305544830029734e-14
5961.999999999999,3.43090172357926e-14
5962.499999999999,3.431004177591665e-14
5962.999999999999,3.4310944673391045e-14
5963.499999999999,3.4314682701762164e-14
5963.999999999999,3.432000717645602e-14
5964.499999999999,3.432279861883728e-14
5964.999999999999,3.4326316076765675e-14
5965.499999999999,3.4328926241042497e-14
5965.999999999998,3.4333841485039445e-14
5966.499999999998,3.433772349003545e-14
5966.999999999998,3.434264439436062e-14
5967.499999999998,3.4345240061235005e-14
5967.999999999998,3.4350663067151e-14
5968.499999999998,3.435342396379108e-14
5968.999999999998,3.4357848091571574e-14
5969.499999999998,3.436275473579762e-14
5969.999999999998,3.436675680679073e-14
5970.499999999998,3.43720489230214e-14
5970.999999999998,3.437843921318842e-14
5971.499999999998,3.438164820041111e-14
5971.999999999998,3.4385756127374057e-14
5972.499999999999,3.438917045010906e-14
5972.999999999999,3.439326712029665e-14
5973.499999999999,3.439611986161364e-14
5973.999999999999,3.4398308959958644e-14
5974.499999999999,3.440226141803242e-14
5974.999999999999,3.440553661722692e-14
5975.499999999999,3.440928430907753e-14
5975.999999999999,3.4412488639556025e-14
5976.499999999999,3.441593988168464e-14
5976.999999999999,3.441877374209249e-14
5977.499999999999,3.4421228172882363e-14
5977.999999999999,3.442391621256558e-14
5978.499999999999,3.4427636124411564e-14
5978.999999999999,3.4429338099689593e-14
5979.499999999998,3.443289138830787e-14
5979.999999999998,3.443461670698354e-14
5980.499999999998,3.443541192194142e-14
5980.999999999998,3.4437996325257976e-14
5981.499999999998,3.4439607640868035e-14
5981.999999999998,3.44403020405584e-14
5982.499999999998,3.443871327726391e-14
5982.999999999998,3.444111262377912e-14
5983.499999999998,3.444210352247025e-14
5983.999999999998,3.4441795555767485e-14
5984.499999999998,3.4442956377399344e-14
5984.999999999998,3.444340566905651e-14
5985.499999999998,3.4443796990925387e-14
5985.999999999998,3.444407568896073e-14
5986.499999999998,3.444255088298865e-14
5986.999999999999,3.4441444114503585e-14
5987.499999999999,3.444075209799305e-14
5987.999999999999,3.444116717384347e-14
5988.499999999999,3.444050875099047e-14
5988.999999999999,3.443916043308063e-14
5989.499999999999,3.443819641977572e-14
5989.999999999999,3.443979768227774e-14
5990.499999999999,3.443981842693302e-14
5990.999999999999,3.444041180505653e-14
5991.499999999999,3.443941238129117e-14
5991.999999999999,3.4440471649764583e-14
5992.499999999999,3.444261786155134e-14
5992.999999999999,3.444334743231505e-14
5993.499999999999,3.444527464657266e-14
5993.999999999998,3.4444976366263704e-14
5994.499999999998,3.444328602513618e-14
5994.999999999998,3.444270283223334e-14
5995.499999999998,3.44445474954063e-14
5995.999999999998,3.4444385714660777e-14
5996.499999999998,3.444526168562768e-14
5996.999999999998,3.444740070283486e-14
5997.499999999998,3.4449583977395917e-14
5997.999999999998,3.445012412021014e-14
5998.499999999998,3.444935465967132e-14
5998.999999999998,3.444955287318882e-14
5999.499999999998,3.445297854192398e-14
5999.999999999998,3.4454471162355006e-14
6000.499999999998,3.4456487582717535e-14
6000.999999999999,3.445656963390191e-14
6001.499999999999,3.4455834308126354e-14
6001.999999999999,3.445501433146191e-14
6002.499999999999,3.445647379164049e-14
6002.999999999999,3.445916862162292e-14
6003.499999999999,3.445973391486033e-14
6003.999999999999,3.445812628992172e-14
6004.499999999999,3.446032745126021e-14
6004.999999999999,3.4461557307100814e-14
6005.499999999999,3.446136534735741e-14
6005.999999999999,3.446328683456849e-14
6006.499999999999,3.446356275441015e-14
6006.999999999999,3.4461764203576585e-14
6007.499999999998,3.4463295101714973e-14
6007.999999999998,3.446125077523916e-14
6008.499999999998,3.446097294665014e-14
6008.999999999998,3.4459733350598434e-14
6009.499999999998,3.4457304705739204e-14
6009.999999999998,3.4458043579342186e-14
6010.499999999998,3.4457673563324514e-14
6010.999999999998,3.445432327576927e-14
6011.499999999998,3.4453276849389733e-14
6011.999999999998,3.4450342856052167e-14
6012.499999999998,3.444844766156024e-14
