# ABSOLUTE spectrograph sensitivity, [erg/s/cm^2/A] per [e-/s/A]
# arm=z  n=4561
# vendored 2026-09-18 from lvmcore/sensitivity/sens_percentiles-z.csv column 4 (of 8), sha256 0fc356eb396dbad2
# columns: wavelength_air_angstrom,sensitivity_abs
7575.999999999997,7.818608163696757e-14
7576.499999999997,7.7978194150704e-14
7576.999999999997,7.775610375322533e-14
7577.499999999997,7.754823614056768e-14
7577.999999999997,7.732071072710022e-14
7578.499999999997,7.708593019450978e-14
7578.999999999997,7.688714291480758e-14
7579.499999999997,7.667154742378785e-14
7579.999999999997,7.643455678017369e-14
7580.499999999997,7.619891845750713e-14
7580.999999999997,7.594796161043101e-14
7581.499999999997,7.573474294283617e-14
7581.999999999997,7.548110974583733e-14
7582.499999999997,7.528028578916619e-14
7582.999999999997,7.505596433389042e-14
7583.499999999997,7.48244374101647e-14
7583.999999999996,7.459872497679011e-14
7584.499999999996,7.438008409899867e-14
7584.999999999996,7.41388978328347e-14
7585.499999999996,7.38807856827184e-14
7585.999999999996,7.360530175872735e-14
7586.499999999996,7.33412275115853e-14
7586.999999999996,7.31234379396342e-14
7587.499999999997,7.288861434954748e-14
7587.999999999997,7.260818728194315e-14
7588.499999999997,7.231356257916576e-14
7588.999999999997,7.200266513959557e-14
7589.499999999997,7.176574805908005e-14
7589.999999999997,7.151823158512103e-14
7590.499999999997,7.130023973459196e-14
7590.999999999997,7.10706361756569e-14
7591.499999999997,7.083300625117603e-14
7591.999999999997,7.05932407923621e-14
7592.499999999997,7.033838243524855e-14
7592.999999999997,7.006664276969504e-14
7593.499999999997,6.980987830620348e-14
7593.999999999997,6.956327622976933e-14
7594.499999999997,6.932025561879435e-14
7594.999999999997,6.90622443889981e-14
7595.499999999997,6.88276940034585e-14
7595.999999999997,6.859079644989733e-14
7596.499999999997,6.837489675742933e-14
7596.999999999997,6.81179310503959e-14
7597.499999999996,6.792029419936186e-14
7597.999999999996,6.768792866249763e-14
7598.499999999996,6.745415576586008e-14
7598.999999999996,6.721533748331106e-14
7599.499999999996,6.69616308519469e-14
7599.999999999996,6.673421422053652e-14
7600.499999999996,6.651676115095912e-14
7600.999999999996,6.628482997578483e-14
7601.499999999997,6.607302883254511e-14
7601.999999999997,6.58441357487416e-14
7602.499999999997,6.560187005497831e-14
7602.999999999997,6.53379512251423e-14
7603.499999999997,6.511562161192218e-14
7603.999999999997,6.487739972211528e-14
7604.499999999997,6.46613462992215e-14
7604.999999999997,6.443513590428405e-14
7605.499999999997,6.420371687910887e-14
7605.999999999997,6.396205243130641e-14
7606.499999999997,6.372852334109883e-14
7606.999999999997,6.349145874011516e-14
7607.499999999997,6.327569057261805e-14
7607.999999999997,6.304391255814015e-14
7608.499999999997,6.281290769249753e-14
7608.999999999997,6.259878242562888e-14
7609.499999999997,6.23826524997705e-14
7609.999999999997,6.216679482629524e-14
7610.499999999997,6.194309372839197e-14
7610.999999999997,6.173072747502797e-14
7611.499999999997,6.152547341326404e-14
7611.999999999996,6.129386916810647e-14
7612.499999999996,6.106672366532468e-14
7612.999999999996,6.085369976451626e-14
7613.499999999996,6.062255737011838e-14
7613.999999999996,6.040033711649434e-14
7614.499999999996,6.01921540974654e-14
7614.999999999996,5.999493716639211e-14
7615.499999999997,5.977221534156113e-14
7615.999999999997,5.95526147614435e-14
