# Table is orginally from arglow_groups.dat in the ESO sky model
# unsure about flux conversion so provide both the oringnal fluxes and converted
# type is defined as  Type: 1: OI5577, 2: NaID, 3: OIred, 4: OH, 5: O2 (Noll+2012)
# OH (X-X), O2(b-X) with the electronic states and rotational upper levels in table
# written with make_lvm_skylines_table.ipynb 2025 June 4 (Amy Jones)
# Adapted by ksl to include all lines
    wave  flux_lvm flux_eso    trans type electronic_state rotational_upper_level
4019.214 5.845e-17   0.0011 0.999956    5               41                      0
4019.804 5.845e-17   0.0011 0.999956    5               41                      0
4020.233 1.063e-17   0.0002 0.999956    1             -999                   -999
4020.513 2.656e-17   0.0005 0.999956    5               42                      0
4021.303 6.905e-17   0.0013 0.999956    5               41                      0
4021.973 3.186e-17   0.0006 0.999956    5               41                      0
4023.543 5.308e-17    0.001 0.999956    5               41                      0
4024.312 3.184e-17   0.0006 0.999956    5               41                      0
4024.502 2.654e-17   0.0005 0.999956    5               41                      0
4024.832 2.653e-17   0.0005 0.999956    1             -999                   -999
4025.982 4.244e-17   0.0008 0.999956    5               41                      0
4026.832 3.713e-17   0.0007 0.999956    5               41                      0
4028.591 6.362e-17   0.0012 0.999956    5               41                      0
4028.871 2.651e-17   0.0005 0.999956    5               41                      0
4029.061 5.301e-18   0.0001 0.999956    1             -999                   -999
4029.731 3.710e-17   0.0007 0.999956    5               41                      0
4031.381 2.649e-17   0.0005 0.999956    5               41                      0
4032.640 3.707e-17   0.0007 0.999956    5               41                      0
4043.147 3.170e-17   0.0006 0.999956    5               39                      0
4043.377 7.395e-17   0.0014 0.999956    5               39                      0
4044.027 1.584e-17   0.0003 0.999956    5               42                      0
4044.377 3.697e-17   0.0007 0.999956    5               41                      0
4044.697 6.865e-17   0.0013 0.999956    5               39                      0
4045.367 5.280e-17    0.001 0.999956    5               39                      0
4047.326 8.971e-17   0.0017 0.999956    5               39                      0
4047.656 5.804e-17   0.0011 0.999956    5               39                      0
4047.986 1.319e-16   0.0025 0.999956    5               39                      0
4050.376 8.964e-17   0.0017 0.999956    5               42                      0
4050.546 2.004e-16   0.0038 0.999956    5               39                      0
4050.875 6.854e-17   0.0013 0.999956    5               39                      0
4051.225 7.381e-17   0.0014 0.999956    5               39                      0
4054.385 5.795e-17   0.0011 0.999955    5               39                      0
4054.504 5.795e-17   0.0011 0.999955    5               39                      0
4054.714 2.634e-17   0.0005 0.999955    5               39                      0
4055.094 6.320e-17   0.0012 0.999955    5               39                      0
4057.704 3.685e-17   0.0007 0.999952    5               42                      0
4058.893 1.368e-16   0.0026 0.999951    5               39                      0
4058.993 2.631e-17   0.0005 0.999951    5               39                      0
4059.593 6.840e-17   0.0013  0.99995    5               39                      0
4060.823 2.104e-17   0.0004 0.999949    5               39                      0
4061.483 5.785e-17   0.0011 0.999948    5               39                      0
4061.833 1.577e-17   0.0003 0.999948    5               39                      0
4061.963 6.836e-17   0.0013 0.999948    5               39                      0
4062.662 3.680e-17   0.0007 0.999947    5               39                      0
4062.892 3.680e-17   0.0007 0.999947    5               39                      0
4063.242 2.103e-17   0.0004 0.999947    5               39                      0
4063.472 3.679e-17   0.0007 0.999947    5               39                      0
4064.702 4.204e-17   0.0008 0.999943    5               39                      0
4064.982 9.983e-17   0.0019 0.999943    5               39                      0
4065.632 8.405e-17   0.0016 0.999946    5               39                      0
4065.842 3.677e-17   0.0007  0.99995    5               39                      0
4066.011 7.354e-17   0.0014 0.999954    5               42                      0
4066.861 1.050e-17   0.0002 0.999976    5               39                      0
4067.811 5.251e-17    0.001 0.999986    5               39                      0
4068.171 5.250e-17    0.001 0.999986    5               39                      0
4068.481 9.450e-17   0.0018 0.999986    5               39                      0
4069.331 2.624e-17   0.0005 0.999985    5               39                      0
4076.089 2.620e-17   0.0005 0.999972    5               41                      0
4076.229 8.908e-17   0.0017 0.999972    5               39                      0
4078.398 3.666e-17   0.0007 0.999967    5               41                      0
