# HYBRID diffuse continuum: canonical PALACE fcHO2 + fcFeO, LVM-refit fcO2Ac.
# Built 2026-09-10 to test whether the canonical set's blue deficit is the
# O2Ac component: canonical O2Ac peaks at 3220 A, outside the LVM window, so
# only its noisy UV tail lands in 3600-9800 A.
# lam/trans/fH2O/isX interpolated from canonical onto the native LVM grid;
# fcO2Ac copied verbatim from pmd_refcont_joint_native_adam_invsky_p2_10000iter.dat.
# Units unchanged: fc* are reference continuum flux in R/nm.
#
lam trans fH2O fcHO2 fcFeO fcO2Ac isX
0.3659 0.9999 0.0 0.179 0.501 2.525940981873817 1
0.36595 0.9999 0.0 0.179 0.5015000000000001 2.5650106664038232 1
0.366 0.9999 0.0 0.179 0.502 2.5819874527367572 1
0.36605 0.9999 0.0 0.179 0.502 2.5759541879114387 1
0.3661 0.9999 0.0 0.179 0.502 2.5482890506265585 1
0.36615 0.9999 0.0 0.178 0.502 2.5030868830756643 1
0.3662000244140625 0.9999 0.0 0.178 0.502 2.443317497450683 1
0.36625 0.9999 0.0 0.178 0.502 2.3734434142393597 1
0.3663 0.9999 0.0 0.178 0.502 2.294778254184109 1
0.36635 0.9999 0.0 0.178 0.502 2.211126407467044 1
0.3664 0.9999 0.0 0.178 0.503 2.1261301442274165 1
0.36645 0.9999 0.0 0.178 0.503 2.041606767680486 1
0.3665 0.9999 0.0 0.178 0.503 1.9602601332136391 1
0.36655 0.9999 0.0 0.178 0.503 1.8850136370334538 1
0.3665999755859375 0.9999 0.0 0.178 0.503 1.8158835448217032 1
0.36665 0.9999 0.0 0.178 0.503 1.7518802383686043 1
0.3667 0.9999 0.0 0.178 0.503 1.6944474540126238 1
0.36675 0.9999 0.0 0.178 0.503 1.6425817032795655 1
0.3668 0.9999 0.0 0.178 0.504 1.5960526375948327 1
0.36685 1.0 0.0 0.178 0.504 1.5553065926789365 1
0.3669 1.0 0.0 0.178 0.504 1.5200416387571023 1
0.36695 1.0 0.0 0.178 0.504 1.4895950809175065 1
0.3670000244140625 1.0 0.0 0.178 0.504 1.4639788136237268 1
0.36705 1.0 0.0 0.178 0.504 1.4437006110374537 1
0.3671 1.0 0.0 0.178 0.504 1.4261906556947268 1
0.36715 1.0 0.0 0.178 0.504 1.410531080614343 1
0.3672 1.0 0.0 0.178 0.504 1.3952023130338764 1
0.36725 1.0 0.0 0.178 0.505 1.3787922518790832 1
0.3673 1.0 0.0 0.178 0.505 1.3599962677641564 1
0.36735 1.0 0.0 0.178 0.505 1.3383455543135692 1
0.3673999755859375 1.0 0.0 0.178 0.505 1.3127644872887652 1
0.36745 1.0 0.0 0.178 0.505 1.2818484666318943 1
0.3675 1.0 0.0 0.177 0.505 1.2450881473258324 1
0.36755 1.0 0.0 0.177 0.505 1.2020821227677707 1
0.3676 1.0 0.0 0.177 0.505 1.1542479127372665 1
0.36765 1.0 0.0 0.177 0.5054999999999986 1.104346612473533 1
0.3677 1.0 0.0 0.177 0.506 1.0529295936403642 1
0.36775 1.0 0.0 0.177 0.506 1.0014951953723805 1
0.3678000244140625 1.0 0.0 0.177 0.506 0.9520246858098357 1
0.36785 1.0 0.0 0.177 0.506 0.9055284509352136 1
0.3679 1.0 0.0 0.177 0.506 0.862835382150964 1
0.36795 1.0 0.0 0.177 0.506 0.825666336447326 1
0.368 1.0 0.0 0.177 0.506 0.7950584689689031 1
0.36805 1.0 0.0 0.177 0.506 0.7709477043351001 1
0.3681 1.0 0.0 0.177 0.507 0.7543215583342191 1
0.36815 1.0 0.0 0.177 0.507 0.7432798368770477 1
0.3681999755859375 1.0 0.0 0.177 0.507 0.7380883956312134 1
0.36825 1.0 0.0 0.177 0.507 0.7377372122632204 1
0.3683 1.0 0.0 0.177 0.507 0.7423163590353712 1
0.36835 1.0 0.0 0.177 0.507 0.7511603810112082 1
0.3684 1.0 0.0 0.177 0.507 0.7636213795130624 1
0.36845 1.0 0.0 0.177 0.507 0.7796236976069169 1
0.3685 1.0 0.0 0.177 0.508 0.7991434415293197 1
0.36855 1.0 0.0 0.177 0.508 0.820836573508768 1
0.3686000244140625 1.0 0.0 0.177 0.508 0.8444859129470863 1
0.36865 1.0 0.0 0.177 0.508 0.8684977613416502 1
0.3687 1.0 0.0 0.177 0.508 0.8913148789867171 1
0.36875 1.0 0.0 0.177 0.508 0.9119601293661175 1
0.3688 1.0 0.0 0.177 0.508 0.928787527622449 1
0.36885 1.0 0.0 0.1765 0.508 0.9418159511002016 1
0.3689 1.0 0.0 0.176 0.509 0.9482732548009927 1
0.36895 1.0 0.0 0.176 0.509 0.9470119889322807 1
0.3689999755859375 1.0 0.0 0.176 0.509 0.9367968751856846 1
0.36905 1.0 0.0 0.176 0.509 0.91692017383789 1
0.3691 1.0 0.0 0.176 0.509 0.8907652052138465 1
0.36915 1.0 0.0 0.176 0.509 0.8631235547680919 1
0.3692 1.0 0.0 0.176 0.509 0.8377944000871088 1
0.36925 1.0 0.0 0.176 0.509 0.819807523440741 1
0.3693 1.0 0.0 0.176 0.509 0.8144809866890146 1
0.36935 1.0 0.0 0.176 0.51 0.8271830246956373 1
0.3694000244140625 1.0 0.0 0.176 0.51 0.8636296644198629 1
0.36945 1.0 0.0 0.176 0.51 0.9297032759186172 1
0.3695 1.0 0.0 0.176 0.51 1.0316019843298836 1
0.36955 1.0 0.0 0.176 0.51 1.1741311753988768 1
0.3696 1.0 0.0 0.176 0.51 1.3501592418543586 1
0.36965 1.0 0.0 0.176 0.51 1.5502296981739843 1
0.3697 1.0 0.0 0.176 0.51 1.7673073255574463 1
0.36975 1.0 0.0 0.176 0.511 1.9903826402466465 1
0.3697999755859375 1.0 0.0 0.176 0.511 2.2112189680380765 1
0.36985 1.0 0.0 0.176 0.511 2.4188399319739036 1
0.3699 1.0 0.0 0.176 0.511 2.6055170172150803 1
0.36995 1.0 0.0 0.176 0.511 2.7595572390219294 1
0.37 1.0 0.0 0.176 0.511 2.87182928720844 1
0.37005 1.0 0.0 0.176 0.511 2.9342505568625565 1
0.3701 1.0 0.0 0.176 0.511 2.95194574852471 1
0.37015 1.0 0.0 0.176 0.512 2.932125531248678 1
0.3702000244140625 1.0 0.0 0.17599877929687252 0.512 2.877129718790843 1
0.37025 1.0 0.0 0.175 0.512 2.795524280174869 1
0.3703 1.0 0.0 0.175 0.512 2.6942710737558064 1
0.37035 1.0 0.0 0.175 0.512 2.57733740725882 1
0.3704 1.0 0.0 0.175 0.512 2.453722084659784 1
0.37045 1.0 0.0 0.175 0.512 2.3320181492764913 1
0.3705 1.0 0.0 0.175 0.512 2.2211349876363276 1
0.37055 1.0 0.0 0.175 0.5125 2.1252682437706296 1
0.3705999755859375 1.0 0.0 0.175 0.513 2.0478142978660814 1
0.37065 1.0 0.0 0.175 0.513 1.985205403529624 1
0.3707 1.0 0.0 0.175 0.513 1.9381367612140927 1
0.37075 1.0 0.0 0.175 0.513 1.904356772653113 1
0.3708 1.0 0.0 0.175 0.513 1.882480137106815 1
0.37085 1.0 0.0 0.175 0.513 1.8709349338153098 1
0.3709 1.0 0.0 0.175 0.513 1.867995218278073 1
0.37095 1.0 0.0 0.175 0.5135000000000001 1.8718136185333916 1
0.3710000244140625 1.0 0.0 0.175 0.514 1.8794679999149757 1
0.37105 1.0 0.0 0.175 0.514 1.8895840420712506 1
0.3711 1.0 0.0 0.175 0.514 1.897555641046612 1
0.37115 1.0 0.0 0.175 0.514 1.9005942439415975 1
0.3712 1.0 0.0 0.175 0.514 1.897295932103917 1
0.37125 1.0 0.0 0.175 0.514 1.8856016320920364 1
0.3713 1.0 0.0 0.175 0.514 1.8660046666206318 1
0.37135 1.0 0.0 0.175 0.5145 1.8382500950553395 1
0.3713999755859375 1.0 0.0 0.175 0.515 1.8022275367592615 1
0.37145 1.0 0.0 0.175 0.515 1.7565371001956396 1
0.3715 1.0 0.0 0.175 0.515 1.7016639474451265 1
0.37155 1.0 0.0 0.1745 0.515 1.6363191944377147 1
0.3716 1.0 0.0 0.174 0.515 1.5652117044451686 1
0.37165 1.0 0.0 0.174 0.515 1.4906626250743353 1
0.3717 1.0 0.0 0.174 0.515 1.4110922018889218 1
0.37175 1.0 0.0 0.174 0.515 1.3277274297939652 1
0.3718000244140625 1.0 0.0 0.174 0.516 1.2403367857382945 1
0.37185 1.0 0.0 0.174 0.516 1.1512204170961766 1
0.3719 1.0 0.0 0.174 0.516 1.065069548612432 1
0.37195 1.0 0.0 0.174 0.516 0.9860663726446826 1
0.372 1.0 0.0 0.174 0.516 0.9213251374295484 1
0.37205 1.0 0.0 0.174 0.516 0.8769182958560019 1
0.3721 1.0 0.0 0.174 0.516 0.8538453706505986 1
0.37215 1.0 0.0 0.174 0.516 0.851040753396343 1
0.3721999755859375 1.0 0.0 0.174 0.517 0.8689457565733617 1
0.37225 1.0 0.0 0.174 0.517 0.9067340333925287 1
0.3723 1.0 0.0 0.174 0.517 0.9625978751807464 1
0.37235 1.0 0.0 0.174 0.517 1.03509497993093 1
0.3724 1.0 0.0 0.174 0.517 1.1222227430611544 1
0.37245 1.0 0.0 0.174 0.517 1.2227721154989872 1
0.3725 1.0 0.0 0.174 0.517 1.3347098676410876 1
0.37255 1.0 0.0 0.174 0.517 1.456691692429481 1
0.3726000244140625 1.0 0.0 0.174 0.518 1.5856708236823795 1
0.37265 1.0 0.0 0.174 0.518 1.719024031495088 1
0.3727 1.0 0.0 0.174 0.518 1.8524955707598527 1
0.37275 1.0 0.0 0.174 0.518 1.9835240893215618 1
0.3728 1.0 0.0 0.174 0.518 2.107926342365386 1
0.37285 1.0 0.0 0.174 0.518 2.2236716487704946 1
0.3729 1.0 0.0 0.174 0.518 2.3246354201655812 1
0.37295 1.0 0.0 0.173 0.518 2.40766253032772 1
0.3729999755859375 1.0 0.0 0.173 0.519 2.4681252724116223 1
0.37305 1.0 0.0 0.173 0.519 2.5025094080431893 1
0.3731 1.0 0.0 0.173 0.519 2.516637001656278 1
0.37315 1.0 0.0 0.173 0.519 2.5161805024844086 1
0.3732 1.0 0.0 0.173 0.519 2.5063881303681383 1
0.37325 1.0 0.0 0.173 0.519 2.493459102903254 1
0.3733 1.0 0.0 0.173 0.519 2.4855978469215807 1
0.37335 1.0 0.0 0.173 0.519 2.4905624062428293 1
0.3734000244140625 1.0 0.0 0.173 0.52 2.5169554443334503 1
0.37345 1.0 0.0 0.173 0.52 2.5741273166229695 1
0.3735 1.0 0.0 0.173 0.52 2.6722176019314814 1
0.37355 1.0 0.0 0.173 0.52 2.8135000000000012 1
0.3736 0.9999 0.0 0.173 0.52 2.9865153898050227 1
0.37365 0.9999 0.0 0.173 0.52 3.172479763686012 1
0.3737 0.9999 0.0 0.173 0.52 3.358394969209495 1
0.37375 0.9999 0.0 0.173 0.5205000000000014 3.528543475579505 1
0.3737999755859375 0.9999 0.0 0.173 0.521 3.6750992137983887 1
0.37385 0.9999 0.0 0.173 0.521 3.786983679623381 1
0.3739 0.9999 0.0 0.173 0.521 3.857682235756262 1
0.37395 0.9999 0.0 0.173 0.521 3.8825033729742398 1
0.374 0.9999 0.0 0.173 0.521 3.860163950027999 1
0.37405 0.9999 0.0 0.173 0.521 3.7904247181944757 1
0.3741 0.9999 0.0 0.173 0.521 3.6883871687349443 1
0.37415 0.9999 0.0 0.173 0.5215000000000001 3.567119778834225 1
0.3742000244140625 0.9999 0.0 0.173 0.522 3.429808303438218 1
0.37425 0.9999 0.0 0.1724999999999986 0.522 3.283579431912961 1
0.3743 0.9999 0.0 0.172 0.522 3.129999679436894 1
0.37435 0.9999 0.0 0.172 0.522 2.975912095317339 1
0.3744 0.9999 0.0 0.172 0.522 2.822662251497193 1
0.37445 0.9999 0.0 0.172 0.522 2.675640100767457 1
0.3745 0.9999 0.0 0.172 0.522 2.5395574152916263 1
0.37455 0.9999 0.0 0.172 0.5225 2.419641766257797 1
0.3745999755859375 0.9999 0.0 0.172 0.523 2.3153384344963976 1
0.37465 0.9999 0.0 0.172 0.523 2.2264304874654943 1
0.3747 0.9999 0.0 0.172 0.523 2.152948028916221 1
0.37475 0.9999 0.0 0.172 0.523 2.094201827362957 1
0.3748 0.9999 0.0 0.172 0.523 2.0512708491069875 1
0.37485 0.9999 0.0 0.172 0.523 2.023666129912452 1
0.3749 0.9999 0.0 0.172 0.523 2.0116455911222904 1
0.37495 0.9999 0.0 0.172 0.524 2.013527526026315 1
0.3750000244140625 0.9999 0.0 0.172 0.524 2.0292316433337727 1
0.37505 0.9999 0.0 0.172 0.524 2.0577489982185453 1
0.3751 0.9999 0.0 0.172 0.524 2.0932689683061962 1
0.37515 0.9999 0.0 0.172 0.524 2.13252748986633 1
0.3752 0.9999 0.0 0.172 0.524 2.1706093330514573 1
0.37525 0.9999 0.0 0.172 0.524 2.203336934926117 1
0.3753 0.9999 0.0 0.172 0.524 2.227945531095295 1
0.37535 0.9999 0.0 0.172 0.525 2.2415909016964566 1
0.3753999755859375 0.9999 0.0 0.172 0.525 2.2406989362152707 1
0.37545 0.9998 0.0 0.172 0.525 2.224798103340283 1
0.3755 0.9998 0.0 0.172 0.525 2.1903238229561124 1
0.37555 0.9998 0.0 0.172 0.525 2.13848674964195 1
0.3756 0.9998 0.0 0.171 0.525 2.0710327213537436 1
0.37565 0.9998 0.0 0.171 0.525 1.9955724218172746 1
0.3757 0.9998 0.0 0.171 0.525 1.913777932096766 1
0.37575 0.9998 0.0 0.171 0.526 1.8278033850951414 1
0.3758000244140625 0.9998 0.0 0.171 0.526 1.7417272586056491 1
0.37585 0.9998 0.0 0.171 0.526 1.6568807630301094 1
0.3759 0.9998 0.0 0.171 0.526 1.577299926702174 1
0.37595 0.9998 0.0 0.171 0.526 1.505406120140762 1
0.376 0.9998 0.0 0.171 0.526 1.4445392580833325 1
0.37605 0.9997 0.0 0.171 0.526 1.396278243493694 1
0.3761 0.9997 0.0 0.171 0.526 1.359168607617287 1
0.37615 0.9997 0.0 0.171 0.527 1.3307530043567724 1
0.3761999755859375 0.9997 0.0 0.171 0.527 1.309292304860564 1
0.37625 0.9997 0.0 0.171 0.527 1.292610821048826 1
0.3763 0.9997 0.0 0.171 0.527 1.2801106988751465 1
0.37635 0.9997 0.0 0.171 0.527 1.2689782473299156 1
0.3764 0.9997 0.0 0.171 0.527 1.25800647963975 1
0.37645 0.9997 0.0 0.171 0.527 1.2465004251482548 1
0.3765 0.9997 0.0 0.171 0.528 1.2323641571283521 1
0.37655 0.9996 0.0 0.171 0.528 1.2150004985319605 1
0.3766000244140625 0.9996 0.0 0.171 0.528 1.197087936819928 1
0.37665 0.9996 0.0 0.171 0.528 1.1799140848166585 1
0.3767 0.9996 0.0 0.171 0.528 1.1661445949135527 1
0.37675 0.9996 0.0 0.171 0.528 1.1576116033950177 1
0.3768 0.9996 0.0 0.171 0.528 1.156069641521514 1
0.37685 0.9995 0.0 0.171 0.528 1.1628300281608892 1
0.3769 0.9995 0.0 0.171 0.529 1.179966028012016 1
0.37695 0.9995 0.0 0.17 0.529 1.209166276799519 1
0.3769999755859375 0.9995 0.0 0.17 0.529 1.2512452961234333 1
0.37705 0.9995 0.0 0.17 0.529 1.3084102176497914 1
0.3771 0.9995 0.0 0.17 0.529 1.3775836797210095 1
0.37715 0.9994 0.0 0.17 0.529 1.4544274636121857 1
0.3772 0.9994 0.0 0.17 0.529 1.5366378936824467 1
0.37725 0.9994 0.0 0.17 0.529 1.6187374119143911 1
0.3773 0.9994 0.0 0.17 0.53 1.6996618509842922 1
