# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Reference continuum components of PALACE (consistent with palace_cont.fits)
# based on X-shooter-related measurements (noll+24)
# 
# Column names:
# lam: vacuum wavelength in µm
# trans: atmospheric transmission for standard conditions at Cerro Paranal
#        (noll+12), PWV = 2.5 mm, and zenith
# fH2O: fraction of H2O with respect to optical depth (based on transmission
#       spectra with PWV = 1 and 5 mm)
# fcHO2: reference continuum flux in R/nm for variability class HO2
# fcFeO: reference continuum flux in R/nm for variability class FeO
# fcO2Ac: reference continuum flux in R/nm for variability class O2Ac
# isX: wavelength with X-shooter measurements (noll+24)? 1 = yes, 0 = no
# 
# References:
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# noll+24: https://doi.org/10.5194/acp-24-1143-2024
# 
     lam   trans   fH2O    fcHO2    fcFeO   fcO2Ac  isX 
 0.30790  0.4410  0.000    0.215    0.411    3.403    0 
 0.30792  0.4404  0.000    0.215    0.411    3.402    0 
 0.30794  0.4400  0.000    0.215    0.411    3.401    0 
 0.30796  0.4398  0.000    0.215    0.411    3.400    0 
 0.30798  0.4398  0.000    0.215    0.411    3.400    0 
 0.30800  0.4397  0.000    0.215    0.411    3.399    0 
 0.30802  0.4399  0.000    0.215    0.411    3.398    0 
 0.30804  0.4401  0.000    0.215    0.411    3.398    0 
 0.30806  0.4404  0.000    0.215    0.411    3.397    0 
 0.30808  0.4406  0.000    0.215    0.411    3.396    0 
 0.30810  0.4410  0.000    0.215    0.411    3.395    0 
 0.30812  0.4415  0.000    0.215    0.411    3.395    0 
 0.30814  0.4424  0.000    0.215    0.411    3.394    0 
 0.30816  0.4432  0.000    0.215    0.411    3.393    0 
 0.30818  0.4437  0.000    0.215    0.411    3.392    0 
 0.30820  0.4438  0.000    0.215    0.411    3.392    0 
 0.30822  0.4441  0.000    0.215    0.411    3.391    0 
 0.30824  0.4443  0.000    0.215    0.411    3.390    0 
 0.30826  0.4450  0.000    0.215    0.411    3.389    0 
 0.30828  0.4465  0.000    0.215    0.411    3.389    0 
 0.30830  0.4481  0.000    0.215    0.411    3.388    0 
 0.30832  0.4499  0.000    0.215    0.411    3.387    0 
 0.30834  0.4519  0.000    0.215    0.411    3.386    0 
 0.30836  0.4537  0.000    0.215    0.411    3.386    0 
 0.30838  0.4556  0.000    0.215    0.411    3.385    0 
 0.30840  0.4577  0.000    0.215    0.411    3.384    0 
