# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
#
# Reference populations and intensities from the OH population model for lines
# with HITRAN2020 data (intensities consistent with pmd_reflineint_mol.dat)
#
# Column names:
# lam: vacuum wavelength in µm (HITRAN2020)
# ID: 13 characters describing upper and lower states (HITRAN2020)
# (see pmd_reflineint_mol.dat for details)
# vi: vibrational level of upper state
# Fi: electronic substate of upper state (1 or 2)
# Ni: rotational level of upper state
# pi: parity of upper state (e or f)
# Ei: energy of upper state in 1/cm (HITRAN2020)
# Aij: Einstein-A coefficient in 1/s (HITRAN2020)
# Aijc: corrected Einstein-A coefficient in 1/s (see pmd_corrA_Ohbands.dat
# for branch and band corrections and noll+20 for Lambda doublets)
# gi: statistical weight (HITRAN2020)
# y: natural logarithm of population (exp(y) in Rs)
# I: reference intensity in R (based on product of exp(y), Aijc, and gi)
#
# References:
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# noll+20: https://doi.org/10.5194/acp-20-5269-2020
#
#
# lvmsky empirical OH coefficients for Skyfar-response calibration.
# Parent PALACE table: pmd_popmodel_OH_telluric_upper_parity_lsf_adam_25000_v1.dat
# Run fingerprint: a53af79abce4efaf70f7faa036ab6b16049d8b015227e5656c5e835ac1243d2b
# Calibration: fixed-baseline linear weighted SSE with VNF q-closure; ridge lambda=0.1.
# Corpus: 12857 FLUX_SKY_FAR spectra; MJD-disjoint train/validation/holdout.
# Mapping: 22058 rows; only Aijc and I changed; sum(Aijc * gi) preserved per (vi, Ni, Fi) VNF group.
lam ID vi Fi Ni pi Ei Aij Aijc gi y I
0.355762 OHXXX0QP2105e 10 2 5 e 28652.251 1.831e-07 2.203e-07 20 -6.165 9.258e-09
0.35577 OHXXX0SR2111e 10 2 11 e 29758.862 1.421e-07 9.16e-08 44 -11.657 3.488e-11
0.355773 OHXXX0QR1201e 10 1 1 e 28234.073 3.27e-08 3.095e-08 8 -4.09 4.143e-09
0.355775 OHXXX0QR1201f 10 1 1 f 28234.09 3.228e-08 3.095e-08 8 -4.091 4.142e-09
0.355778 OHXXX0QP2105f 10 2 5 f 28652.251 1.783e-07 2.203e-07 20 -6.165 9.258e-09
0.355834 OHXXX0SR2111f 10 2 11 f 29757.616 1.374e-07 9.16e-08 44 -11.648 3.521e-11
0.355849 OHXXX0RR1107e 10 1 7 e 28869.316 1.913e-05 1.457e-05 32 -7.241 3.34e-07
0.355856 OHXXX0QQ1104f 10 1 4 f 28456.413 1.528e-06 6.489e-07 20 -5.194 7.203e-08
0.35586 OHXXX0RR1107f 10 1 7 f 28870.215 1.914e-05 1.457e-05 32 -7.248 3.317e-07
0.355869 OHXXX0QQ1104e 10 1 4 e 28456.136 1.528e-06 6.031e-07 20 -5.192 6.708e-08
0.35588 OHXXX0QR1202e 10 1 2 e 28286.848 1.67e-10 1.445e-10 12 -4.352 2.234e-11
0.355883 OHXXX0QR1202f 10 1 2 f 28286.911 1.48e-10 1.445e-10 12 -4.353 2.232e-11
0.356063 OHXXX0PP1102e 10 1 2 e 28286.848 5.922e-06 6.455e-06 12 -4.352 9.976e-07
0.356068 OHXXX0PP1102f 10 1 2 f 28286.911 5.924e-06 6.455e-06 12 -4.353 9.971e-07
0.356101 OHXXX0RQ2108f 10 2 8 f 29108.684 9.323e-08 1.241e-08 32 -8.429 8.669e-11
0.356125 OHXXX0RQ2108e 10 2 8 e 29109.153 9.651e-08 1.241e-08 32 -8.433 8.638e-11
0.356226 OHXXX0QR1203e 10 1 3 e 28360.851 1.322e-08 1.165e-08 16 -4.719 1.664e-09
0.356227 OHXXX0QR1203f 10 1 3 f 28361.001 1.315e-08 1.165e-08 16 -4.72 1.662e-09
0.356549 OHXXX0PQ1201f 10 1 1 f 28234.09 1.198e-07 1.144e-07 8 -4.091 1.531e-08
0.356553 OHXXX0PQ1201e 10 1 1 e 28234.073 1.174e-07 1.144e-07 8 -4.09 1.532e-08
0.356582 OHXXX0QQ2205e 10 2 5 e 28652.251 3.131e-07 9.649e-08 20 -6.165 4.055e-09
0.356582 OHXXX0QQ2205f 10 2 5 f 28652.251 3.136e-07 9.649e-08 20 -6.165 4.055e-09
0.356737 OHXXX0PP2203e 10 2 3 e 28461.148 6.948e-06 7.863e-06 12 -5.217 5.118e-07
0.356738 OHXXX0PP2203f 10 2 3 f 28461.253 6.953e-06 7.863e-06 12 -5.218 5.114e-07
0.35675 OHXXX0RR2208f 10 2 8 f 29108.684 2.151e-05 1.577e-05 32 -8.429 1.102e-07
0.356752 OHXXX0RR2208e 10 2 8 e 29109.153 2.151e-05 1.577e-05 32 -8.433 1.098e-07
0.356766 OHXXX0QQ1105f 10 1 5 f 28573.147 1.088e-06 3.584e-07 24 -5.773 2.675e-08
0.356788 OHXXX0QQ1105e 10 1 5 e 28572.701 1.089e-06 3.12e-07 24 -5.77 2.336e-08
0.356799 OHXXX0QR1204f 10 1 4 f 28456.413 4.457e-08 3.82e-08 20 -5.194 4.241e-09
0.356801 OHXXX0QR1204e 10 1 4 e 28456.136 4.516e-08 3.82e-08 20 -5.192 4.25e-09
0.356859 OHXXX0RR1108e 10 1 8 e 29049.003 2.175e-05 1.595e-05 36 -8.132 1.688e-07
0.356874 OHXXX0RR1108f 10 1 8 f 29050.179 2.176e-05 1.595e-05 36 -8.141 1.673e-07
0.356954 OHXXX0QP2106e 10 2 6 e 28782.301 1.582e-07 1.897e-07 24 -6.811 5.016e-09
0.356978 OHXXX0QP2106f 10 2 6 f 28782.185 1.539e-07 2.053e-07 24 -6.81 5.435e-09
0.35707 OHXXX0PP1103e 10 1 3 e 28360.851 6.066e-06 6.864e-06 16 -4.719 9.799e-07
0.357078 OHXXX0PP1103f 10 1 3 f 28361.001 6.069e-06 6.864e-06 16 -4.72 9.788e-07
0.357167 OHXXX0PQ1202f 10 1 2 f 28286.911 1.177e-07 8.419e-08 12 -4.353 1.3e-08
0.357171 OHXXX0PQ1202e 10 1 2 e 28286.848 1.145e-07 8.419e-08 12 -4.352 1.301e-08
0.35736 OHXXX0RQ2109f 10 2 9 f 29304.29 8.79e-08 8.792e-09 36 -9.399 2.62e-11
0.35739 OHXXX0RQ2109e 10 2 9 e 29304.989 9.101e-08 8.792e-09 36 -9.405 2.606e-11
0.35759 OHXXX0QR1205f 10 1 5 f 28573.147 7.976e-08 6.595e-08 24 -5.773 4.921e-09
0.357596 OHXXX0QR1205e 10 1 5 e 28572.701 8.103e-08 6.595e-08 24 -5.77 4.938e-09
0.357682 OHXXX0QQ2206e 10 2 6 e 28782.301 2.547e-07 5.902e-08 24 -6.811 1.561e-09
0.357687 OHXXX0QQ2206f 10 2 6 f 28782.185 2.553e-07 5.902e-08 24 -6.81 1.562e-09
0.357842 OHXXX0OP1201e 10 1 1 e 28234.073 7.341e-08 7.616e-08 8 -4.09 1.02e-08
0.357845 OHXXX0OP1201f 10 1 1 f 28234.09 7.169e-08 7.616e-08 8 -4.091 1.019e-08
0.357863 OHXXX0QQ1106f 10 1 6 f 28711.13 8.216e-07 2.096e-07 28 -6.458 9.198e-09
0.357894 OHXXX0QQ1106e 10 1 6 e 28710.475 8.217e-07 1.709e-07 28 -6.453 7.538e-09
0.357949 OHXXX0PP2204f 10 2 4 f 28545.133 6.665e-06 7.824e-06 16 -5.634 4.475e-07
0.35795 OHXXX0PP2204e 10 2 4 e 28545.059 6.659e-06 7.824e-06 16 -5.633 4.477e-07
0.357952 OHXXX0RR2209f 10 2 9 f 29304.29 2.396e-05 1.692e-05 36 -9.399 5.043e-08
0.357958 OHXXX0RR2209e 10 2 9 e 29304.989 2.396e-05 1.692e-05 36 -9.405 5.016e-08
0.358016 OHXXX0PQ1203f 10 1 3 f 28361.001 1.029e-07 5.536e-08 16 -4.72 7.894e-09
0.35802 OHXXX0PQ1203e 10 1 3 e 28360.851 9.944e-08 5.492e-08 16 -4.719 7.84e-09
0.358064 OHXXX0RR1109e 10 1 9 e 29249.247 2.415e-05 1.706e-05 40 -9.125 7.428e-08
0.358084 OHXXX0RR1109f 10 1 9 f 29250.728 2.415e-05 1.706e-05 40 -9.137 7.345e-08
0.358262 OHXXX0PP1104e 10 1 4 e 28456.136 6.142e-06 7.25e-06 20 -5.192 8.064e-07
0.358274 OHXXX0PP1104f 10 1 4 f 28456.413 6.144e-06 7.179e-06 20 -5.194 7.968e-07
0.35832 OHXXX0QP2107e 10 2 7 e 28934.759 1.388e-07 1.697e-07 28 -7.567 2.456e-09
0.358354 OHXXX0QP2107f 10 2 7 f 28934.485 1.351e-07 1.902e-07 28 -7.565 2.759e-09
0.358595 OHXXX0QR1206f 10 1 6 f 28711.13 1.11e-07 8.846e-08 28 -6.458 3.883e-09
0.358607 OHXXX0QR1206e 10 1 6 e 28710.475 1.129e-07 8.846e-08 28 -6.453 3.902e-09
0.358809 OHXXX0RQ2110f 10 2 10 f 29520.784 8.125e-08 6.108e-09 40 -10.473 6.909e-12
0.358846 OHXXX0RQ2110e 10 2 10 e 29521.743 8.41e-08 6.108e-09 40 -10.481 6.859e-12
0.358969 OHXXX0OP1202e 10 1 2 e 28286.848 1.084e-07 1.166e-07 12 -4.352 1.802e-08
0.35897 OHXXX0OP1202f 10 1 2 f 28286.911 1.056e-07 1.166e-07 12 -4.353 1.801e-08
0.358977 OHXXX0QQ2207e 10 2 7 e 28934.759 2.144e-07 3.735e-08 28 -7.567 5.408e-10
0.358989 OHXXX0QQ2207f 10 2 7 f 28934.485 2.15e-07 3.735e-08 28 -7.565 5.419e-10
0.359089 OHXXX0PQ1204f 10 1 4 f 28456.413 8.729e-08 3.635e-08 20 -5.194 4.035e-09
0.359093 OHXXX0PQ1204e 10 1 4 e 28456.136 8.391e-08 3.378e-08 20 -5.192 3.758e-09
0.359151 OHXXX0QQ1107f 10 1 7 f 28870.215 6.431e-07 1.269e-07 32 -7.248 2.89e-09
0.359193 OHXXX0QQ1107e 10 1 7 e 28869.316 6.43e-07 9.694e-08 32 -7.241 2.223e-09
0.359354 OHXXX0PP2205f 10 2 5 f 28652.251 6.569e-06 8.005e-06 20 -6.165 3.364e-07
0.359357 OHXXX0RR2210f 10 2 10 f 29520.784 2.594e-05 1.765e-05 40 -10.473 1.997e-08
0.359358 OHXXX0PP2205e 10 2 5 e 28652.251 6.564e-06 8.005e-06 20 -6.165 3.364e-07
0.359365 OHXXX0RR2210e 10 2 10 e 29521.743 2.594e-05 1.765e-05 40 -10.481 1.982e-08
0.359468 OHXXX0RR1110e 10 1 10 e 29469.688 2.607e-05 1.774e-05 44 -10.219 2.847e-08
0.359494 OHXXX0RR1110f 10 1 10 f 29471.498 2.607e-05 1.774e-05 44 -10.232 2.809e-08
0.359645 OHXXX0PP1105e 10 1 5 e 28572.701 6.317556185439953e-06 7.772e-06 24 -5.77 5.819e-07
0.359662 OHXXX0PP1105f 10 1 5 f 28573.147 6.319505947143293e-06 7.433e-06 24 -5.773 5.547e-07
0.359811 OHXXX0QR1207f 10 1 7 f 28870.215 9.523178045649952e-08 1.034e-07 32 -7.248 2.354e-09
