exposure,stack_row,mjd,fold,sky_far_label,target_airmass,moon_fli,moon_altitude_deg,moon_separation_deg,signed_phase_deg,e50_b,e90_b,bias_b,e50_r,e90_r,bias_r,e50_z,e90_z,bias_z
32975,13729,60692,1,SkyW,1.0062928635716721,0.8833,49.7923,45.9793,-40.260184850389265,0.12374999893611498,0.22371507506091823,-0.12374999893611498,0.2302784758763065,0.31146165838353745,-0.2302784758763065,0.3547261058052943,0.4220250220716087,-0.3547261058052943
16862,13853,60424,2,SkyE,1.6913674044564195,0.9999,23.6152,32.2393,-1.7063001482655125,0.08141612715189943,0.13580120967384854,0.07447280688549848,0.08403015874393929,0.13181290313331717,0.08370588154313197,0.30598637794322403,0.5036494778159462,0.30598637794322403
21645,13953,60509,1,SkyW,1.4518250394726813,0.8651,85.5611,44.9679,43.19193644667294,0.10367808394407742,0.16496887199244764,0.0962546297699436,0.034644438147468044,0.09315502062245659,0.03263331372603426,0.0548780140520018,0.10491942149535165,0.049307487781854294
44538,14027,60893,2,SkyE,1.5039561608185883,0.8866,89.2887,48.2617,39.403559817588985,0.05933242651845761,0.13871513833767615,-0.04590133920769583,0.17409908317089395,0.2150162801293716,-0.17409908317089395,0.23110990044199187,0.25899891130407454,-0.23110990044199187
44536,14067,60893,2,SkyE,1.3185298160998329,0.8857,82.6663,47.9035,39.66910735785865,0.06735811827830478,0.15971543791295983,-0.05805976625766612,0.22674166039291133,0.2870807295321766,-0.22674166039291133,0.336059061228815,0.36580727414997805,-0.336059061228815
39215,14071,60781,1,SkyE,1.1323729819015536,0.9023,58.7032,53.3577,-37.05113881777967,0.05574056865226751,0.237540983508844,-0.05574056865226751,0.12255476309912226,0.17846901143236507,-0.12255476309912226,0.12761847943948712,0.19300910404595262,-0.12759711892462333
39274,14092,60782,0,SkyW,1.3658033675114205,0.8381,74.1699,56.5144,-47.876696791800214,0.09445697258143183,0.23313566198077149,-0.09445697258143183,0.14056053193050183,0.19874526276979174,-0.14056053193050183,0.12446032394965051,0.21279330166315646,-0.12438705705849716
39268,14106,60782,0,SkyW,1.610487667892942,0.841,82.9082,53.5521,-47.070053224556005,0.0586359758144472,0.15469941060665154,0.03644600080617298,0.09406781374473594,0.14594196815734992,-0.09406781374473594,0.07362306459062888,0.15616923815570644,-0.06510572807506612
39216,14115,60781,1,SkyE,1.1063057829697713,0.9018,54.6963,53.2687,-37.1934850404505,0.0881843748367411,0.26231725874555584,-0.0881843748367411,0.16088615338862125,0.21923572166785085,-0.16088615338862125,0.18743626774197583,0.2381853285742257,-0.18582102890621555
39275,14136,60782,0,SkyE,1.3040114660236446,0.8376,70.5631,56.4401,-48.005827134445724,0.06961951197219104,0.21796096074626106,-0.06959860379020742,0.11330044041701326,0.17011208415552456,-0.11330044041701326,0.10523607597250415,0.20578238952653735,-0.10511485288155202
