output_row,stack_row,exposure,status,elapsed_seconds,r2,rms_residual_scaled,closure_max_abs,skyline_fraction,weight_min,weight_median,weight_max
137,8205,21644,Solved,5.72860587501782,0.9456683014889281,1.8661883865910895,0.0,0.6087412305459237,0.0,0.006738602767336372,13.477205534672745
138,8238,40487,Solved,5.612848791002762,0.9317240191895978,1.7513522601821638,0.0,0.608660591887751,0.0006012149098100205,0.0067336278003994,13.467255600798799
139,8357,44863,Solved,5.701913333992707,0.9499998888718372,0.9423569737584551,0.0,0.6087412305459237,0.0006019453300445586,0.006714083321153107,13.428166642306214
140,8358,44864,Solved,5.572604290995514,0.9525208379233874,0.9352182786271758,0.0,0.608660591887751,0.0006016213224450688,0.0066990798734016905,13.39815974680338
141,8484,53168,Solved,5.52821637497982,0.9394463299823357,1.068305644007224,0.0,0.6088218692040964,0.0006002387657122123,0.006740564158181811,13.481128316363622
142,8485,53169,Solved,5.402216458984185,0.9343984963029222,1.1478050957403423,0.0,0.6088218692040964,0.0006005660274638018,0.0067351974040019795,13.47039480800396
143,8486,53170,Solved,5.489616624981863,0.9313213076409488,1.1969112001049773,0.0,0.6087412305459237,0.0006004103779030104,0.006746336233266078,13.492672466532156
144,8557,40490,Solved,5.645047166995937,0.9414344929885766,1.376589099018394,0.0,0.608660591887751,0.000601537843818795,0.00671819437133689,13.436388742673781
145,8558,40488,Solved,5.703059083985863,0.9333511968339008,1.6109706834192095,0.0,0.608660591887751,0.0006008997471111939,0.00671316147621625,13.4263229524325
146,8768,53172,Solved,5.630408166995039,0.9285397825064998,1.891891052339533,0.0,0.6087412305459237,0.0006000689474957941,0.006722260684536411,13.444521369072822
147,8804,41929,Solved,5.62476187502034,0.9257284737512445,2.7332187116842186,0.0,0.6087412305459237,0.0,0.006752844143064661,13.50568828612932
148,8892,40486,Solved,5.82621504200506,0.9358533168541322,1.5646585551280503,0.0,0.608660591887751,0.0006014511814837006,0.0067018478282080745,13.403695656416149
149,8893,40489,Solved,5.701245208998444,0.9384760743982026,1.4661356533083079,0.0,0.608660591887751,0.0006004256518564871,0.006710510633065895,13.42102126613179
150,9026,33031,Solved,5.899325250007678,0.9042360743317508,1.9762602816838115,0.0,0.608660591887751,0.0,0.006715707465665924,13.431414931331847
151,9030,33030,Solved,5.754592000012053,0.9008324937522945,2.0585495777623586,0.0,0.608660591887751,0.0005996448420671706,0.006714908262998228,13.429816525996454
152,9037,53165,Solved,5.463075000006938,0.9471231808488729,0.9748533818013724,0.0,0.6088218692040964,0.0006012551052196653,0.006744479411921082,13.488958823842163
153,9054,32974,Solved,5.598032667010557,0.9270703219257119,1.2549963755831453,0.0,0.6088218692040964,0.0005990936787158451,0.00674678364013505,13.493567280270101
154,9056,33029,Solved,5.734059625014197,0.9011478678400736,1.7210299701346565,0.0,0.608660591887751,0.0005996950232775749,0.006719435392994005,13.438870785988009
155,9069,13032,Solved,5.6547423750162125,0.9707227897457098,1.995903303442333,0.0,0.6088218692040964,0.0006007061266965005,0.006705915881152487,13.411831762304972
156,9071,41930,Solved,5.615295249997871,0.9265051954811386,2.6697697566999197,0.0,0.608660591887751,0.0006008928223758328,0.0067196736348579585,13.439347269715917
157,9172,40491,Solved,5.574663416977273,0.9464688719435843,1.2647642035778404,0.0,0.608660591887751,0.0006006295870930957,0.006691449385079231,13.382898770158462
158,9352,13366,Solved,5.427155041979859,0.9568064555572751,1.2461998242029084,0.0,0.6088218692040964,0.0,0.006775334115264353,13.550668230528705
159,9353,13364,Solved,5.498045832995558,0.9617059854860717,1.180634293756648,0.0,0.6088218692040964,0.0,0.006766890631969066,13.533781263938131
160,9379,21643,Solved,5.5110843339934945,0.9597381876067962,1.5962962270046737,0.0,0.6087412305459237,0.0,0.0067205344311255045,13.441068862251008
161,9634,13365,Solved,5.58248608399299,0.9556055842309843,1.14206452887503,0.0,0.6088218692040964,0.0,0.00677885127987708,13.557702559754159
162,9635,13363,Solved,5.45782541699009,0.9624046703251392,1.1446480155276924,0.0,0.6088218692040964,0.0,0.006764631984703287,13.529263969406573
163,9738,40492,Solved,5.690450541005703,0.9502553909915807,1.1144656080313406,0.0,0.608660591887751,0.0006013499709516133,0.006707957189773796,13.415914379547592
164,9739,40494,Solved,5.781192041991744,0.9436371680825051,1.0862028749191521,0.0,0.608660591887751,0.0006003727952714215,0.006690157300962399,13.380314601924798
165,9885,15126,Solved,5.729626499989536,0.9537881899431773,1.3165917407204897,0.0,0.6088218692040964,0.0005995719499763471,0.006726626646656655,13.45325329331331
166,9901,13358,Solved,5.715624915988883,0.9623195337311335,0.7143734529687671,0.0,0.6088218692040964,0.0,0.006724900742513474,13.449801485026947
167,9903,13021,Solved,5.808315125002991,0.9747275015137395,1.8320819615326656,0.0,0.6087412305459237,0.0005999789571830976,0.006664333562030459,13.32866712406092
168,9911,13362,Solved,5.602706000005128,0.9685656918355982,1.067701671593251,0.0,0.6088218692040964,0.0,0.0067424031069432296,13.48480621388646
169,10011,40493,Solved,5.73049175000051,0.9451148980655455,1.1702906999845033,0.0,0.608660591887751,0.0006012054193712433,0.006690074482437896,13.380148964875792
170,10012,40495,Solved,5.663225624972256,0.9402518857471479,1.0439284744730566,0.0,0.608660591887751,0.0006001794970208818,0.006699732518837699,13.399465037675398
171,10027,40409,Solved,5.640541208005743,0.933897217298461,1.3136545648234015,0.0,0.6088218692040964,0.0,0.006764828958504898,13.529657917009796
172,10170,13359,Solved,5.885649375006324,0.9680894741969994,1.0067443543670342,0.0,0.6088218692040964,0.000598963691702635,0.006734076596061647,13.468153192123294
173,10171,13360,Solved,5.9261695420136675,0.9603862683327052,1.0974867782042634,0.0,0.6088218692040964,0.0005993492319246972,0.006755630943746328,13.511261887492656
174,10172,13361,Solved,6.009514707984636,0.9644192783469406,1.0781833742267661,0.0,0.6088218692040964,0.0,0.006747130559528074,13.494261119056146
175,10175,37537,Solved,5.722689000016544,0.9476802031465399,1.623533900044107,0.0,0.6088218692040964,0.0006004221115188777,0.006746691327705702,13.493382655411404
176,10271,40408,Solved,6.013072708010441,0.9278532012321807,1.637573221402618,0.0,0.6087412305459237,0.0005978897471991296,0.006747869984205573,13.495739968411147
177,10351,33032,Solved,5.70237916597398,0.8938464248214122,2.6001726525508433,0.0,0.608660591887751,0.0006001258821125712,0.006730845495559231,13.461690991118461
178,10395,13018,Solved,5.719039833988063,0.9752925691929821,1.9417013107320098,0.0,0.6088218692040964,0.0005993913288438778,0.006693713763907126,13.387427527814252
179,10398,13356,Solved,5.5190807079779916,0.9461385591976386,1.0815037773144593,0.0,0.6088218692040964,0.0005985890510145044,0.006741218583008609,13.482437166017217
180,10401,13020,Solved,5.775017042004038,0.9752454078925137,1.845469186318394,0.0,0.6088218692040964,0.0005995770995521932,0.006677774733634092,13.355549467268183
