# AIRGLOW LINE LIST for SKYCORR (Noll et al. 2013)
# based on
# - Hanuschik (2003) and Cosby et al. (2006) UVES line atlas
#   for optical non-OH lines and OH lines with delta v >= 4
#   (scaled to mean intensities of the Patat (2008) FORS1 data set)
# - OH calculations of Rousselot et al. (2000)
#   for Einstein coefficients of Goldman et al. (1998) instead of Mies (1974)
#   (scaled to the measured OH intensities in the optical)
# - O2 bands at 1.27 and 1.58 mum from the HITRAN database for 200 K
#   (scaled to match mean O2/OH band flux ratios of an XSHOOTER NIR data set)
# Meaning of Columns:
# Wavelength: line centres in vacuum and mum
# Flux: unextincted line flux in phot/sm2as2
# Trans: absorption-related transmission at zenith for Cerro Paranal mean
#        conditions
# Different variability classes are indicated:
# Type: 1: OI5577, 2: NaID, 3: OIred, 4: OH, 5: O2
# Flag for roto-vibrational systems (A and B groups defined):
# System: 0: no B groups defined, 1: OH, 2: O2(b-X), 3: O2(a-X)
# Fine classification by two group IDs:
# GroupA: e.g. same electronic states or vibrational transitions
# GroupB: e.g. same rotational upper levels
# For more details: SKYCORR user manual and Noll et al. (2012, A&A 543, A92)
# Wavelength[mum] Flux[phot/sm2as2] Trans[X=1] Type System GroupA GroupB
0.390872   0.0027 0.999976  5  0 41  0                                          
0.390950   0.0020 0.999970  5  0 41  0                                          
0.390985   0.0016 0.999973  5  0 41  0                                          
0.391072   0.0023 0.999984  5  0 41  0                                          
0.391114   0.0019 0.999984  5  0 41  0                                          
0.391206   0.0018 0.999973  5  0 41  0                                          
0.391258   0.0017 0.999975  5  0 41  0                                          
0.391359   0.0024 0.999996  5  0 41  0                                          
0.391480   0.0010 1.000000  1  0  1  0                                          
0.391530   0.0018 1.000000  5  0 41  0                                          
0.391581   0.0008 1.000000  5  0 41  0                                          
0.391606   0.0015 1.000000  5  0 41  0                                          
0.391719   0.0018 1.000000  5  0 41  0                                          
0.391803   0.0012 1.000000  5  0 41  0                                          
0.391925   0.0016 1.000000  5  0 41  0                                          
0.391957   0.0005 1.000000  5  0 42  0                                          
0.392019   0.0011 1.000000  5  0 41  0                                          
0.392149   0.0013 1.000000  5  0 41  0                                          
0.392223   0.0005 1.000000  5  0 41  0                                          
0.392251   0.0005 1.000000  5  0 41  0                                          
0.392390   0.0014 1.000000  5  0 41  0                                          
0.392471   0.0006 1.000000  5  0 41  0                                          
0.392501   0.0012 1.000000  5  0 41  0                                          
0.392648   0.0016 1.000000  5  0 41  0                                          
0.392738   0.0010 1.000000  5  0 41  0                                          
0.392772   0.0004 1.000000  5  0 41  0                                          
0.392894   0.0007 1.000000  5  0 42  0                                          
0.392925   0.0013 1.000000  5  0 41  0                                          
0.393021   0.0004 1.000000  5  0 41  0                                          
0.393058   0.0005 1.000000  5  0 41  0                                          
0.393219   0.0016 1.000000  5  0 41  0                                          
0.393363   0.0012 1.000000  5  0 41  0                                          
0.393861   0.0004 1.000000  5  0 41  0                                          
0.394065   0.0005 1.000000  5  0 39  0                                          
0.394096   0.0009 1.000000  5  0 39  0                                          
0.394163   0.0002 1.000000  5  0 39  0                                          
0.394209   0.0007 1.000000  5  0 41  0                                          
0.394229   0.0007 1.000000  5  0 39  0                                          
0.394285   0.0016 1.000000  5  0 39  0                                          
0.394397   0.0039 1.000000  5  0 39  0                                          
0.394464   0.0025 1.000000  5  0 39  0                                          
0.394633   0.0014 1.000000  5  0 39  0                                          
0.394663   0.0005 1.000000  5  0 39  0                                          
0.394675   0.0002 1.000000  5  0 41  0                                          
0.394698   0.0018 1.000000  5  0 39  0                                          
0.394920   0.0017 1.000000  5  0 39  0                                          
0.394953   0.0013 1.000000  5  0 39  0                                          
0.394985   0.0016 1.000000  5  0 39  0                                          
0.395239   0.0007 1.000000  5  0 39  0                                          
0.395266   0.0041 1.000000  5  0 39  0                                          
0.395293   0.0008 1.000000  5  0 39  0                                          
0.395330   0.0010 1.000000  5  0 39  0                                          
0.395455   0.0003 1.000000  1  0  1  0                                          
0.395508   0.0010 1.000000  5  0 41  0                                          
0.395656   0.0008 1.000000  5  0 39  0                                          
0.395672   0.0005 1.000000  5  0 39  0                                          
0.395691   0.0007 1.000000  5  0 39  0                                          
0.395730   0.0009 1.000000  5  0 39  0                                          
0.395782   0.0006 1.000000  5  0 42  0                                          
0.396074   0.0000 1.000000  1  0  1  0                                          
0.396090   0.0002 1.000000  1  0  1  0                                          
0.396126   0.0002 1.000000  5  0 39  0                                          
0.396146   0.0005 1.000000  5  0 39  0                                          
0.396185   0.0011 1.000000  5  0 39  0                                          
0.396271   0.0007 1.000000  5  0 42  0                                          
0.397504   0.0018 0.999597  5  0 42  0                                          
0.397548   0.0009 0.999999  5  0 39  0                                          
0.397597   0.0004 1.000000  5  0 42  0                                          
0.397860   0.0016 1.000000  5  0 39  0                                          
0.397898   0.0017 0.999998  5  0 39  0                                          
